VOC_ID,담당 부서,사업 부문,VOC유형,VOC상세유형,등록채널 유형,발생원인 유형,발생지 유형,처리기한 - 시/분,처리기한 - 일시,발생일시,등록일시,접수일시,배분일시,처리일시,직영/협력업체,VOC등급(4단계),처리결과유형,복합VOC의 부모 VOC_ID,복합VOC FLAG,승인 사용유무,고객이 만족도 직접 회신여부,"즉답처리 (I:등록, R:접수, N:일반)",질문내용,답변내용,개선관리ID,개선관리상태,사후처리유형,처리시간(시:분),준수 여부,유형변경신청,유형변경사유,요약내용
VOCS0000515565,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-홈페이지(PC),이용안내-이용정보제공-시설/공연/동물원 이용안내,주토피아-(공연/전시)판다월드,48.0,20240504 105804,20240501 000000,20240501 105804,20240501 114701,20240501 132156,20240501 133851,직영업체,해당없음,채택(완료),VOCS0000515554,Sub,,,N,에버랜드 판다월드 쌍둥이 판다 몸무게 표지판태어났을때 몸무게 루이바오 후이바오 서로 바뀌었네요 ㅠㅜ몇년은 쓸텐데 개선 부탁드립니다,"안녕하세요, 주토피아입니다.판다월드에 확인해 조치하도록 하겠습니다.고맙습니다.",,,,2:40,준수,N,,"요약:

- 에버랜드 판다월드에서 태어난 쌍둥이 판다 루이바오와 후이바오
- 태어났을 때의 몸무게 표지판이 서로 바뀌어 있었음
- 이 문제를 개선해달라는 요청"
VOCS0000515556,리조트 주토피아운영그룹 동물보전2,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(공연/전시)앵무새집,48.0,20240504 112245,20240430 000000,20240501 112245,20240501 122040,20240501 131812,20240501 160700,직영업체,해당없음,격려,,일반,N,,N,"어제 아이 생일 기념으로 에버랜드에 방문했어요! 가는길이 멀어서 아이가 지쳐 짜증내고 있던 참에 조류관(?)에 들렸는데요.. 마침 설명해 주시는 시간이었고, 계시던 사육사님께서 재미있게 설명해주시고 퀴즈도 내면서 아이들 참여를 유도해 주시고 아이들 이야기도 잘 들어 주셔서, 저희 아이도 끝까지 즐겁게 참여할 수 있었습니다.막바지 클로징 인사할때쯤 참여했던 사람들이 그냥 가버리셔서 좀 섭섭(?) 하셨을것 같은데 이렇게라도 응원 해 드리고 싶어서 남겨 봅니다!사육사님 성함은 잊어버려서 아이 사진 찍으면서 찍히셨던 사진 올려봅니다!저희 아이 여섯번째 생일이었는데 덕분에 즐거운 시간 보냈습니다 감사합니다:)",현장 격려토록 하겠습니다.,,,,4:44,준수,N,,"요약:

1. 아이 생일 기념으로 에버랜드에 방문했음.
2. 가는 길이 멀어 아이가 지쳐 짜증을 내던 중 조류관에 들렸음.
3. 마침 설명해 주시는 시간이었고, 사육사님께서 재미있게 설명해 주시며 퀴즈도 내어 아이들의 참여를 유도해 주셨음.
4. 사육사님이 아이들의 이야기도 잘 들어주셔서 아이가 끝까지 즐겁게 참여할 수 있었음.
5. 막바지 클로징 인사할 때 참여했던 사람들이 그냥 가버려 섭섭했지만, 사육사님께 감사한 마음을 전하고자 글을 남겼음.
6. 아이의 여섯 번째 생일이었는데 덕분에 즐거운 시간을 보냈다고 감사 표현을 함."
VOCS0000515559,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(공연/전시)앵무새집,48.0,20240504 112531,20240501 000000,20240501 112531,20240501 114159,20240501 131932,20240501 132934,직영업체,해당없음,격려,,일반,N,,N,*** 대형앵무새너무 재미있어요.감사합니다.,손님 칭찬내용 전파 및 근무자 격려토록 하겠습니다,,,,2:4,준수,N,,"요약:

1. 대형앵무새는 매우 재미있다."
VOCS0000515579,리조트 파크서비스그룹 CB운영,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),이용안내-시설운영-시설운영 기타(대기공간),기타-기타,48.0,20240504 112914,20240501 000000,20240501 112914,20240501 121143,20240501 122827,20240502 131742,직영업체,해당없음,채택(사후관리이관),VOCS0000515560,Sub,,,,"아래는요원4명 위에는 1명,바디1명.. 위에는 혼자서 1,2인 둘다 통제하니 많이 밀리고 운영이 제대로 안되요. 오히려 하단에2명을 배치 하시죠","퀵라이드 슬라이드 2중 안전센서로 운영 中- 탑승 전 이용자세 및 안전주의사항 안내 후 탑승 진행- 손님 탑승장 통과 시 센서 1차 변경(O→X), 근무자 육안으로 탑승 확인 후 센서 2차 변경(O→X)손님 도착 시 센서 1차 변경(X→O),  근무자 손님 케어 및 하차 후 센서 2차 변경(X→O)- 탑승장 도착 센서 1차 변경 시 다음 탑승 손님 안내 후 2차 변경 확인 후 탑승 진행- 착지풀 경우 도착 시 손님 안전 구조를 위한 근무자 배치 적정인원 필요(3명)(내용의 하단 4명은 입구 근무자를 포함을 사료됨)- 사고 발생 방지 및 안전 운영을 위해 유지가 필요하여 '기타유형' 변경 요청- 근무자 SOP 준수하여 기존대로 손님 안내 실시",VCAF0000013640,진행,,25:48,준수,Y,기타,"이 텍스트를 요약하면 다음과 같습니다:

- 조직 구조에 대한 문제 제기
- 상위 관리자 1명이 하위 요원 4명과 바디 1명을 통제하고 있어 운영이 잘되지 않음
- 하단에 2명을 추가로 배치하는 것이 더 효율적일 것으로 제안

핵심 내용은 조직 구조의 문제점과 개선 방안에 대한 제안입니다. 상위 관리자 1명이 다수의 부하를 직접 통제하는 것이 효과적이지 않다는 점과, 하단에 추가 인력을 배치하는 것이 더 나은 대안이라는 점이 강조되고 있습니다."
VOCS0000515561,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240504 113129,20240501 000000,20240501 113129,20240501 114028,20240501 130505,20240501 130856,직영업체,해당없음,격려,,일반,N,,N,***와 함께한 사파리투어 너무 쾌적하고 즐거웠어요~!!어른이들에게도 반갑게 인사해주는 *** 짱!,- 아침조회 시 칭찬 VOC 사례 공유 및 해당근무자 격려,,,,1:37,준수,N,,"요약:

- ***와 함께한 사파리 투어가 매우 쾌적하고 즐거웠다.
- *** 직원들이 어른들에게 반갑게 인사해주어 좋은 인상을 남겼다."
VOCS0000515562,리조트 파크서비스그룹 어트랙션B,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-업무처리-응대스킬,주토피아-(어트랙션)사파리월드,48.0,20240504 113143,20240501 000000,20240501 113143,20240501 113947,20240501 130528,20240501 130911,직영업체,해당없음,격려,,일반,N,,N,사파리 *** 칭찬합니다 재밌었어요!!!,- 아침조회 시 칭찬 VOC 사례 공유 및 해당근무자 격려,,,,1:37,준수,N,,"이 텍스트는 사파리 경험에 대한 긍정적인 감정을 표현하고 있습니다. 주요 내용은 다음과 같이 요약할 수 있습니다:

- 사파리 경험에 대한 긍정적 평가: ""칭찬합니다"", ""재밌었어요!!!""
- 전반적으로 사파리 경험이 즐거웠음을 나타냄"
VOCS0000515575,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-제안사항,,직접 VOC-모바일앱(APP),이용안내-이용정보제공-시설/공연/동물원 이용안내,주토피아-(공연/전시)판다월드,48.0,20240504 114352,20240501 000000,20240501 114352,20240501 120222,20240501 132603,20240501 134507,직영업체,해당없음,채택(완료),VOCS0000515564,Sub,,,N,"안녕하세요.오늘부터 판월 푸바오 몸무게 없어지고 루후 판넬로 바꿔있는데 태어날때 몸무게 서로 바꿔있고 오늘의 몸무게 또한 중국어로는 태어날때 몸무게로 표기가 되어있습니다 급하게 만들었는지 검수하시고 다시 만드셔야할것 같습니다 또한 아기판다 디데이가 예전부터 에버계산식으로 태어나고 하루 지나야 1일로 해서 내일이 300일인데 오늘이 300일로 표기가 되어 있던데 이거는 단순한 오류인지 아님 표기법을 바꾸시는건지도 궁금합니다 여태까지 에버 계산식은 태어나고 다음날부터 1일 바뀐거는 태어나자마자 1일로 표기 되어있어서 즉 여태 에버 계산식 쌍둥이 출생하고 7월 8일부터 1일, 바뀐거 7월 7일부터 1일 앞으로 어떻게 계산하실건지 갑자기 이래서 혼란오고 있습니다 감사합니다","안녕하세요, 주토피아입니다.문의주신 내용 판다월드에 확인해 조치하도록 하겠습니다.고맙습니다.",,,,2:1,준수,N,,"요약:

1. 판월 푸바오의 몸무게 정보가 잘못 표기되어 있음
   - 태어날 때 몸무게와 현재 몸무게가 바뀌어 표기되어 있음
   - 검수 후 다시 만들어야 할 것 같음

2. 아기 판다의 디데이 정보 오류
   - 예전부터 에버 계산식으로 표기되어 왔으나, 오늘이 300일로 표기되어 있음
   - 단순한 오류인지 표기법 변경인지 확인이 필요함

3. 에버 계산식과 변경된 계산식에 대한 혼란
   - 에버 계산식은 태어나자마자 1일로 표기되었으나, 변경된 계산식은 태어나고 다음날부터 1일로 표기됨
   - 앞으로 어떻게 계산할지 혼란스러움"
VOCS0000515567,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(공연/전시)알버트스페이스센터,48.0,20240504 114754,20240501 000000,20240501 114754,20240501 122107,20240501 132211,20240501 132959,직영업체,해당없음,격려,,일반,N,,N,*** 사육사 너무 재밋고 유익한 시간아 되었어요,손님 칭찬내용 전파 및 근무자 격려토록 하겠습니다,,,,1:42,준수,N,,"이 텍스트를 요약하면 다음과 같습니다:

- 사육사 체험이 재미있고 유익한 시간이 되었다는 내용입니다.

요약의 핵심 내용은 사육사 체험이 즐겁고 도움이 되었다는 것입니다. 텍스트가 짧고 간단하므로 특별히 공통적인 내용을 묶거나 하이라이트할 부분은 없습니다. 전체 내용을 간단히 요약했습니다."
VOCS0000515569,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(공연/전시)알버트스페이스센터,48.0,20240504 114858,20240501 000000,20240501 114858,20240501 122155,20240501 132224,20240501 133020,직영업체,해당없음,격려,,일반,N,,N,***선생님! 알버트스페이스센터에서 즐겁게 잘 들었습니다!감사합니다^^,손님 칭찬내용 전파 및 근무자 격려토록 하겠습니다,,,,1:41,준수,N,,"1. 알버트 스페이스 센터 방문 및 즐거운 경험
- 선생님께서 알버트 스페이스 센터를 방문하셨음
- 해당 방문이 즐겁고 좋은 경험이었음

2. 감사 표현
- 선생님께서 해당 방문에 대해 감사한 마음을 표현하셨음"
VOCS0000515572,리조트 주토피아운영그룹 운영지원,리조트        ,고객요구유형-칭찬격려,,직접 VOC-QR코드,인적서비스-응대태도-표정/자세/말투,주토피아-(공연/전시)알버트스페이스센터,48.0,20240504 115035,20240501 000000,20240501 115035,20240501 122233,20240501 132321,20240501 133044,직영업체,해당없음,격려,,일반,N,,N,11시 반 알버트 스페이스에서 진행한 애니멀톡 잘 들었습니다! 들어온지 얼마 되지 않은 신입 캐스트이신데도 원활하고 노련한 진행으로 즐거운 시간 보냈습니다!,손님 칭찬내용 전파 및 근무자 격려토록 하겠습니다,,,,1:40,준수,N,,"요약:

- 11시 반 알버트 스페이스에서 애니멀톡 진행
- 신입 캐스트이지만 원활하고 노련한 진행으로 즐거운 시간 보냄"
